den 20 februari 2017 13:34:10 sucess, stockList.Count = 334
den 20 februari 2017 13:34:53 sucess, stockList.Count = 334
den 20 februari 2017 13:44:53 sucess, stockList.Count = 334
den 20 februari 2017 13:54:53 sucess, stockList.Count = 334
den 20 februari 2017 14:35:07 sucess, stockList.Count = 334
den 20 februari 2017 16:53:45 sucess, stockList.Count = 334
den 20 februari 2017 16:55:45 sucess, stockList.Count = 334
den 20 februari 2017 16:57:45 sucess, stockList.Count = 334
den 20 februari 2017 16:59:45 sucess, stockList.Count = 334
den 21 februari 2017 10:24:44 sucess, stockList.Count = 334
den 21 februari 2017 10:27:02 sucess, stockList.Count = 334
den 21 februari 2017 10:29:02 sucess, stockList.Count = 334
den 21 februari 2017 10:31:02 sucess, stockList.Count = 334
den 21 februari 2017 10:33:02 sucess, stockList.Count = 334
den 21 februari 2017 11:02:29 sucess, stockList.Count = 334
den 21 februari 2017 11:04:29 sucess, stockList.Count = 334
den 21 februari 2017 11:06:29 sucess, stockList.Count = 334
den 21 februari 2017 11:08:29 sucess, stockList.Count = 334
den 21 februari 2017 11:10:29 sucess, stockList.Count = 334
den 21 februari 2017 11:12:31 sucess, stockList.Count = 334
den 21 februari 2017 11:14:29 sucess, stockList.Count = 334
den 21 februari 2017 11:16:29 sucess, stockList.Count = 334
den 21 februari 2017 11:18:29 sucess, stockList.Count = 334
den 21 februari 2017 11:20:29 sucess, stockList.Count = 334
den 21 februari 2017 11:22:29 sucess, stockList.Count = 334
den 21 februari 2017 11:24:29 sucess, stockList.Count = 334
den 21 februari 2017 11:26:29 sucess, stockList.Count = 334
den 21 februari 2017 11:28:29 sucess, stockList.Count = 334
den 21 februari 2017 11:30:29 sucess, stockList.Count = 334
den 21 februari 2017 11:32:29 sucess, stockList.Count = 334
den 21 februari 2017 11:34:29 sucess, stockList.Count = 334
den 21 februari 2017 11:36:29 sucess, stockList.Count = 334
den 21 februari 2017 11:38:29 sucess, stockList.Count = 334
den 21 februari 2017 11:40:32 sucess, stockList.Count = 334
den 21 februari 2017 11:42:29 sucess, stockList.Count = 334
den 21 februari 2017 11:44:29 sucess, stockList.Count = 334
den 21 februari 2017 11:46:25 sucess, stockList.Count = 334
den 21 februari 2017 11:49:44 sucess, stockList.Count = 334
den 21 februari 2017 11:51:46 sucess, stockList.Count = 334
den 21 februari 2017 11:54:10 sucess, stockList.Count = 334
den 21 februari 2017 11:56:10 sucess, stockList.Count = 334
den 21 februari 2017 11:58:10 sucess, stockList.Count = 334
den 21 februari 2017 12:00:10 sucess, stockList.Count = 334
den 21 februari 2017 12:02:10 sucess, stockList.Count = 334
den 21 februari 2017 12:04:10 sucess, stockList.Count = 334
den 21 februari 2017 12:06:10 sucess, stockList.Count = 334
den 21 februari 2017 12:08:10 sucess, stockList.Count = 334
den 21 februari 2017 12:10:10 sucess, stockList.Count = 334
den 21 februari 2017 12:12:10 sucess, stockList.Count = 334
den 21 februari 2017 12:18:56 sucess, stockList.Count = 334
den 21 februari 2017 12:20:56 sucess, stockList.Count = 334
den 21 februari 2017 12:22:56 sucess, stockList.Count = 334
den 21 februari 2017 12:25:01 sucess, stockList.Count = 334
den 21 februari 2017 12:26:56 sucess, stockList.Count = 334
den 21 februari 2017 12:28:56 sucess, stockList.Count = 334
den 21 februari 2017 12:30:56 sucess, stockList.Count = 334
den 21 februari 2017 12:32:56 sucess, stockList.Count = 334
den 21 februari 2017 12:34:58 sucess, stockList.Count = 334
den 21 februari 2017 12:36:56 sucess, stockList.Count = 334
den 21 februari 2017 12:38:56 sucess, stockList.Count = 334
den 21 februari 2017 12:40:56 sucess, stockList.Count = 334
den 21 februari 2017 12:42:56 sucess, stockList.Count = 334
den 21 februari 2017 12:44:56 sucess, stockList.Count = 334
den 21 februari 2017 12:46:56 sucess, stockList.Count = 334
den 21 februari 2017 12:48:56 sucess, stockList.Count = 334
den 21 februari 2017 12:50:56 sucess, stockList.Count = 334
den 21 februari 2017 12:52:59 sucess, stockList.Count = 334
den 21 februari 2017 12:54:56 sucess, stockList.Count = 334
den 21 februari 2017 13:08:38 sucess, stockList.Count = 334
den 21 februari 2017 13:10:38 sucess, stockList.Count = 334
den 21 februari 2017 13:12:38 sucess, stockList.Count = 334
den 21 februari 2017 13:14:38 sucess, stockList.Count = 334
den 21 februari 2017 13:16:38 sucess, stockList.Count = 334
den 21 februari 2017 13:18:38 sucess, stockList.Count = 334
den 21 februari 2017 13:20:38 sucess, stockList.Count = 334
den 21 februari 2017 13:22:38 sucess, stockList.Count = 334
den 21 februari 2017 13:24:38 sucess, stockList.Count = 334
den 21 februari 2017 13:26:38 sucess, stockList.Count = 334
den 21 februari 2017 13:28:38 sucess, stockList.Count = 334
den 21 februari 2017 13:30:38 sucess, stockList.Count = 334
den 21 februari 2017 13:32:38 sucess, stockList.Count = 334
den 21 februari 2017 13:34:38 sucess, stockList.Count = 334
den 21 februari 2017 13:36:38 sucess, stockList.Count = 334
den 21 februari 2017 13:38:38 sucess, stockList.Count = 334
den 21 februari 2017 13:40:38 sucess, stockList.Count = 334
den 21 februari 2017 13:42:38 sucess, stockList.Count = 334
den 21 februari 2017 13:44:38 sucess, stockList.Count = 334
den 21 februari 2017 13:46:38 sucess, stockList.Count = 334
den 21 februari 2017 13:48:38 sucess, stockList.Count = 334
den 21 februari 2017 13:50:38 sucess, stockList.Count = 334
den 21 februari 2017 13:52:38 sucess, stockList.Count = 334
den 21 februari 2017 13:54:38 sucess, stockList.Count = 334
den 21 februari 2017 13:56:38 sucess, stockList.Count = 334
den 21 februari 2017 13:58:38 sucess, stockList.Count = 334
den 21 februari 2017 14:00:38 sucess, stockList.Count = 334
den 21 februari 2017 14:02:38 sucess, stockList.Count = 334
den 21 februari 2017 14:04:38 sucess, stockList.Count = 334
den 21 februari 2017 14:06:38 sucess, stockList.Count = 334
den 21 februari 2017 15:08:10 something went wrong while downloading stocks, Det gick inte att matcha fjärrnamnet: 'download.finance.yahoo.com'
den 21 februari 2017 15:10:10 sucess, stockList.Count = 334
den 21 februari 2017 15:12:10 sucess, stockList.Count = 334
den 21 februari 2017 15:14:10 sucess, stockList.Count = 334
den 21 februari 2017 15:16:10 sucess, stockList.Count = 334
den 21 februari 2017 15:18:10 sucess, stockList.Count = 334
den 21 februari 2017 15:20:10 sucess, stockList.Count = 334
den 21 februari 2017 15:22:10 sucess, stockList.Count = 334
den 21 februari 2017 15:24:10 sucess, stockList.Count = 334
den 21 februari 2017 15:26:10 sucess, stockList.Count = 334
den 21 februari 2017 15:28:11 sucess, stockList.Count = 334
den 21 februari 2017 15:30:10 sucess, stockList.Count = 334
den 21 februari 2017 15:32:10 sucess, stockList.Count = 334
den 21 februari 2017 15:34:10 sucess, stockList.Count = 334
den 21 februari 2017 15:36:10 sucess, stockList.Count = 334
den 21 februari 2017 15:38:10 sucess, stockList.Count = 334
den 21 februari 2017 15:40:10 sucess, stockList.Count = 334
den 21 februari 2017 15:42:10 sucess, stockList.Count = 334
den 21 februari 2017 15:44:10 sucess, stockList.Count = 334
den 21 februari 2017 15:46:10 sucess, stockList.Count = 334
22 February 2017 13:06:21 sucess, stockList.Count = 334
22 February 2017 13:08:21 sucess, stockList.Count = 334
22 February 2017 13:11:10 sucess, stockList.Count = 334
22 February 2017 13:12:21 sucess, stockList.Count = 334
22 February 2017 13:14:21 sucess, stockList.Count = 334
22 February 2017 13:16:21 sucess, stockList.Count = 334
22 February 2017 13:18:21 sucess, stockList.Count = 334
22 February 2017 13:20:21 sucess, stockList.Count = 334
22 February 2017 13:22:21 sucess, stockList.Count = 334
22 February 2017 13:24:21 sucess, stockList.Count = 334
01 March 2017 15:38:47 sucess, stockList.Count = 334
01 March 2017 15:40:46 sucess, stockList.Count = 334
